"Date","Exit Date","Ticker","Strategy","Direction","Strike","Entry $","Exit $","Contracts","P&L","Portfolio $","Risk %","Delta","IV%","DTE","Days Held","Compliant","Hard Risk","Premium Stop","Delta Stop","MAE","Prem Cap %","DTE Rem %","Exit Reason","Rolled","Assigned","Early Exit","Reposition","Emotion","Notes"
"2025-11-03","2025-11-04","TESLA","Covered Call","Sell","565","11.72","7.82","1","390.00000000000006","180000","31.4","","","","1","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-03","2025-11-04","TESLA","Covered Call","Sell","545","15.04","10.17","1","486.99999999999994","180000","30.3","","","","1","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-03","2025-11-04","TESLA","Covered Call","Sell","520","20.73","14.28","2","1290.0000000000002","180000","57.8","","","","1","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-03","2025-11-04","TESLA","Covered Call","Sell","495","5.49","1.13","2","872.0000000000001","180000","55.0","","","","1","","No","No","No","","","","","No","No","Yes","No","Greedy",""
"2025-10-29","2025-12-19","HIMS","Call","Buy","49","6.52","0","1","-652","180000","2.7","","","","51","","No","No","No","","","","","No","No","No","No","Greedy",""
"2025-10-29","2025-10-29","HIMS","Call","Buy","55","4.55","4.49","1","-5.999999999999961","180000","3.1","","","","0","","No","No","No","","","","","No","No","Yes","No","FOMO",""
"2025-10-28","2025-11-03","TESLA","Covered Call","Sell","480","9.95","10.04","2","-17.99999999999997","180000","53.3","","","","6","","No","No","No","","","","","Yes","No","No","No","Anxious",""
"2025-10-27","2025-11-07","TESLA","Covered Call","Sell","485","5.93","0.05","3","1764","180000","80.8","","","","11","","No","No","No","","","","","No","No","No","No","Neutral",""
"2025-10-24","2025-11-07","TESLA","Cash Secured Put","Sell","415","9.22","0","1","922.0000000000001","180000","23.1","","","","14","","No","No","No","","","","","No","No","No","No","",""
"2025-10-21","2025-10-24","TESLA","Covered Call","Sell","472.5","10.35","2.22","5","4064.999999999999","180000","131.3","","","","3","","No","No","No","","","","","No","No","Yes","No","Neutral",""
"2025-10-20","2025-10-24","TESLA","Covered Call","Sell","462.5","13.77","3.43","1","1034","180000","25.7","","","","4","","No","No","No","","","","","No","No","Yes","No","Neutral","1st option trade contract"
